Designator,Mid X,Mid Y,Rotation,Layer
D1,142.7035,2.381,180,top
D2,142.5915,-1.556,180,top
D3,141.8295,-22.0665,180,top
D4,141.8295,-20.1615,180,top
D5,128.4945,-13.62,270,top
FUSE1,125.5735,-13.624,90,top
IC1,105.444,-4.985,90,top
IC2,92.49,-4.985,90,top
IC3,118.398,-4.985,270,top
IC4,131.352,-4.985,270,top
R1,138.7585,2.4445,0,top
R2,138.7585,3.4605,0,top
R3,139.607,-22.003,270,top
R4,139.607,-20.098,270,top
R5,132.8125,2.231,270,top
R6,134.0825,2.231,270,top
R7,135.3525,2.231,270,top
R8,136.6225,2.231,270,top
R9,118.525,2.231,270,top
R10,119.795,2.231,270,top
R11,121.065,2.231,270,top
R12,122.335,2.231,270,top
R13,123.605,2.231,270,top
R14,89.95,2.231,270,top
R15,91.22,2.231,270,top
R16,92.49,2.231,270,top
R17,93.76,2.231,270,top
R18,95.03,2.231,270,top
R19,96.3,2.231,270,top
R20,97.57,2.231,270,top
R21,98.84,2.231,270,top
R22,100.11,2.231,270,top
R23,131.5425,-12.605,270,top
R24,132.8125,-12.605,270,top
R25,134.0825,-12.605,270,top
R26,135.3525,-12.605,270,top
R27,117.255,-12.478,270,top
R28,118.525,-12.478,270,top
R29,119.795,-12.478,270,top
R30,121.0015,-12.478,270,top
R31,122.335,-12.478,270,top
R32,88.68,-12.478,270,top
R33,89.95,-12.478,270,top
R34,91.22,-12.478,270,top
R35,92.49,-12.478,270,top
R36,93.76,-12.478,270,top
R37,94.9665,-12.478,270,top
R38,96.3,-12.478,270,top
R39,97.57,-12.478,270,top
R40,101.6975,-12.478,270,top
R41,131.5425,-15.002501,90,top
R42,132.8125,-15.002501,90,top
R43,134.0825,-15.002501,90,top
R44,135.3525,-15.002501,90,top
R45,117.255,-14.8275,90,top
R46,118.525,-14.8275,90,top
R47,119.795,-14.8275,90,top
R48,121.065,-14.8275,90,top
R49,122.335,-14.8275,90,top
R50,88.68,-14.8275,90,top
R51,89.95,-14.8275,90,top
R52,91.22,-14.8275,90,top
R53,92.49,-14.8275,90,top
R54,93.76,-14.8275,90,top
R55,95.03,-14.8275,90,top
R56,96.3,-14.8275,90,top
R57,97.57,-14.8275,90,top
R58,101.6975,-14.8275,90,top
S1,133.8285,-18.2565,0,top
